제목,시작일,종료일,장소,장르,출연진_원본,제작진_원본,관람연령,런타임,기획제작사,상태,포스터URL,KOPIS_ID
"하녀들 (Les Bonnes)","2026.09.17","2026.09.27","나온씨어터 (나온씨어터)","연극","송이주, 박승희, 유진희, 배현아","구태환, 노현열, 김소형 등","만 13세 이상","1시간 40분","극단 수, 주식회사 코스타","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299351_260825_141745.gif","PF299351"
"오! 나의 귀신님 [부산]","2026.09.17","2027.01.03","BNK부산은행 조은극장 (1관)","연극","","김도연, 이상율 등","만 7세 이상","1시간 30분","(주)조은아트플러스, BNK부산은행조은극장, DY company (디와이 컴퍼니), 조은문화마을","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299342_260825_135053.gif","PF299342"
"수상한 흥신소 [거제]","2026.10.24","2026.10.24","거제문화예술회관 (소극장)","연극","","","만 13세 이상","1시간 40분","익스트림플레이","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299336_260825_133522.jpg","PF299336"
"Sac on Screen, 무수비좌: 피노키오 [화성] (영상화)","2026.09.20","2026.09.20","화성예술의전당 (동탄아트홀)","연극","키노시타 이쿠미, 미야타케 시로, 코바야시 타카유키, 오타 히로키, 하세가와 마요, 타카미츠 코이치, 와다 마코토 등","오노 마사오, 아소 케이코, 코즈카 켄지 등","전체 관람가","1시간 34분","(재) 화성시문화관광재단","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299334_260825_133120.gif","PF299334"
"제9회 프로젝트 10minutes, 2주차","2026.09.10","2026.09.13","서울연극창작센터 (서울씨어터 101 (1F) )","연극","장예슬, 박소희, 방준식, 전영준, 유성곤, 임희정, 전인기 등","엄준연, 인치수, 문경진 등","만 13세 이상","1시간 10분","예술단체 화로, 창작19다, 창작집단 이랑","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299330_260825_132238.jpg","PF299330"
"LINE 두줄광대 [인천]","2026.09.17","2026.09.17","제물포구문화체육센터(구. 동구문화체육센터) (공연장)","연극","한산하, 신재웅, 김형일, 이선유, 박종수, 최원","임종희, 백승문, 박광배 등","만 5세 이상","1시간","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299329_260825_132101.gif","PF299329"
"가까운 이야기 [전남 광주]","2026.09.05","2026.09.06","문예정터 (소극장)","연극","최인환, 안의연, 김대연, 오창선, 김에덴","김민석, 김효진, 박서영","만 13세 이상","1시간","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299323_260825_125135.png","PF299323"
"서리풀 악동 문화공연, 호랑이와 곶감 (9월)","2026.09.07","2026.09.07","반포심산아트홀 (반포심산아트홀)","연극","","","24개월 이상","50분","서초구청","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299320_260825_124313.jpg","PF299320"
"사랑하는 윤에게","2026.09.15","2026.09.20","창동극장 (창동극장)","연극","강주연, 이서연, 부새연, 유태현, 김민채, 임석현","유태현, 강주연, 한재훈 등","만 13세 이상","1시간 10분","극단 이젝션","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299318_260825_114444.jpg","PF299318"
"지리산 반달곰 들메 [산청]","2026.09.18","2026.09.19","산청문화예술회관 (대공연장)","연극","","","만 5세 이상","1시간","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299312_260825_111856.jpg","PF299312"
